"","AIC_mar1_sim1","AIC_mar2_sim1","AIC_mar1_sim2","AIC_mar2_sim2","AICc_mar1_sim1","AICc_mar2_sim1","AICc_mar1_sim2","AICc_mar2_sim2","BIC_mar1_sim1","BIC_mar2_sim1","BIC_mar1_sim2","BIC_mar2_sim2"
"183","117.62","116.82","111.20"," 98.18","119.00","118.69","112.58","100.04","126.8","127.51","120.36","108.86"
"184","128.40","128.60","144.72","114.96","129.78","130.47","146.10","116.82","137.6","139.28","153.88","125.64"
"185","132.90","136.56","156.61","136.45","134.28","138.42","157.99","138.32","142.1","147.24","165.77","147.13"
"186","140.70","148.27","157.41","123.63","142.07","150.14","158.78","125.49","149.9","158.96","166.56","134.31"
"187","144.19","133.62","121.96","106.35","145.57","135.49","123.33","108.22","153.4","144.30","131.11","117.04"
"188","133.96","137.73","127.04","111.82","135.34","139.60","128.42","113.69","143.1","148.42","136.20","122.50"
"189","128.80","125.22","125.32","115.24","130.18","127.09","126.69","117.11","138.0","135.90","134.48","125.93"
"190","158.65","154.73","134.29","111.87","160.02","156.60","135.66","113.74","167.8","165.42","143.44","122.56"
"191","140.29","151.12","123.76","110.35","141.67","152.99","125.14","112.22","149.5","161.81","132.92","121.04"
"192","149.95","156.73","131.70","121.87","151.33","158.60","133.08","123.74","159.1","167.42","140.86","132.56"
"193","139.56","137.17","148.87","133.44","140.93","139.04","150.25","135.30","148.7","147.85","158.03","144.12"
"194","141.89","138.54","158.07","127.17","143.27","140.40","159.45","129.03","151.0","149.22","167.23","137.85"
"195","123.90","120.32","133.53","114.99","125.28","122.19","134.91","116.86","133.1","131.00","142.69","125.68"
"196","145.02","140.48","136.28","125.42","146.40","142.35","137.66","127.29","154.2","151.17","145.44","136.11"
"197","150.18","142.84","157.06","136.64","151.56","144.70","158.43","138.50","159.3","153.52","166.22","147.32"
"198","152.25","149.54","128.46","114.83","153.63","151.40","129.84","116.69","161.4","160.22","137.62","125.51"
"199","119.39","122.87","123.18","113.90","120.77","124.73","124.56","115.77","128.6","133.55","132.34","124.58"
"200","133.31","126.26","133.38","123.65","134.68","128.13","134.75","125.52","142.5","136.94","142.53","134.34"
"201","138.37","138.38","147.78","142.30","139.75","140.25","149.15","144.17","147.5","149.06","156.94","152.99"
"202","151.13","152.26","156.57","133.26","152.51","154.13","157.95","135.13","160.3","162.94","165.73","143.95"
"203","144.38","137.56","148.96","134.33","145.76","139.43","150.33","136.20","153.5","148.25","158.11","145.02"
"204","117.43","115.69","140.47","133.11","118.81","117.56","141.84","134.98","126.6","126.38","149.63","143.80"
"205","152.05","150.16","113.79","102.44","153.43","152.02","115.16","104.31","161.2","160.84","122.94","113.13"
"206","146.83","141.14","160.94","134.95","148.21","143.00","162.32","136.81","156.0","151.82","170.10","145.63"
"207","130.34","128.66","131.82","126.15","131.72","130.53","133.20","128.01","139.5","139.35","140.98","136.83"
"208","145.51","151.85","132.44","124.61","146.89","153.72","133.82","126.48","154.7","162.54","141.60","135.30"
"209","123.80","118.18","138.54","115.70","125.17","120.05","139.92","117.56","133.0","128.87","147.70","126.38"
"210","147.09","153.32","139.33","117.85","148.46","155.18","140.70","119.72","156.2","164.00","148.48","128.54"
"211","142.09","138.87","157.09","137.17","143.47","140.73","158.46","139.04","151.2","149.55","166.24","147.85"
"212","136.57","142.37","142.43","127.90","137.94","144.24","143.81","129.76","145.7","153.06","151.59","138.58"
"213","155.93","159.67","112.48"," 97.76","157.31","161.53","113.86"," 99.63","165.1","170.35","121.64","108.45"
"214","134.24","138.59","175.88","160.99","135.62","140.46","177.26","162.86","143.4","149.28","185.04","171.68"
"215","150.08","152.55","151.56","125.12","151.46","154.42","152.93","126.98","159.2","163.24","160.71","135.80"
"216","140.57","143.35","140.58","123.32","141.95","145.22","141.96","125.18","149.7","154.04","149.74","134.00"
"217","120.14","113.23","154.89","115.18","121.51","115.09","156.26","117.05","129.3","123.91","164.04","125.86"
"218","128.64","132.96","168.67","145.60","130.02","134.82","170.05","147.47","137.8","143.64","177.83","156.28"
"219","144.82","153.43","162.00","136.19","146.20","155.29","163.38","138.06","154.0","164.11","171.16","146.88"
"220","119.84","124.69","118.72","111.72","121.21","126.56","120.10","113.59","129.0","135.38","127.88","122.41"
"221","133.09","131.09","152.31","124.63","134.46","132.95","153.68","126.49","142.2","141.77","161.47","135.31"
"222","135.93","130.59","130.02","117.69","137.31","132.45","131.40","119.55","145.1","141.27","139.18","128.37"
"223","148.44","140.75","154.01","131.47","149.81","142.62","155.39","133.34","157.6","151.43","163.17","142.16"
"224","117.44","115.88","109.21","103.41","118.82","117.75","110.59","105.27","126.6","126.57","118.37","114.09"
"225","122.14","112.90","157.95","124.14","123.52","114.77","159.33","126.00","131.3","123.58","167.11","134.82"
"226","150.83","147.38","157.23","125.52","152.21","149.25","158.61","127.39","160.0","158.06","166.39","136.21"
